Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Taxiwala,520393,https://www.youtube.com/watch?v=9KN3dbZVRwQ,Rahul Sankrityan,"['Vijay Deverakonda', 'Priyanka Jawalkar', 'Malavika Nair', 'Ravi Prakash', 'Uttej', 'Madhunandan', 'Chammak Chandra', 'Ravi Varma', 'Shiju', 'Yamuna', 'Vishnu Oi', 'Satya Krishnan', 'Kaveri']",,"Thriller, Comedy, Horror",1000000,100000000,"A job monger, Shiva who ends up as a taxiwala only to realise his ride is a beyond what anyone can expect.",,2018,150,3.95,False,2018-06-01,టాక్సీవాలా,te,,6.104,24
Sarabham,280174,,J. M. Arun,"['Naveen Chandra', 'Salony Luthra', 'Adukalam Naren', 'Boys Rajan', 'Sam Anton']",,"Thriller, Crime, Mystery",0,0,"Despite being an honest man, Vikram, in order to get extra money without being caught, hatches a plan to kidnap Shruti. His actions land him in trouble and he realises that he is being framed.",,2014,133,1.267,False,2014-08-01,சரபம்,ta,,5.3,5
24 Kisses,562974,https://www.youtube.com/watch?v=fDm7wbjiwf4,Ayodhyakumar Krishnamsetty,"['Thrigun', 'Hebah Patel', 'Rao Ramesh', 'Naresh', 'Aditi Myakal', 'Srinivasa Kapavarapu', 'Kishore Gundala', 'Suhas', 'Devi Mahesh']",,Romance,0,0,A heartfelt romantic comedy movie about modern age relationships and the transformation of the lead characters. This movie is also a celebration of 24 unique kisses varying from romantic to heart-warming.,,2018,139,1.061,False,2018-11-23,24 కిసెస్,te,A heartfelt romantic comedy movie about modern age relationships and the transformation of the lead characters.,5.8,3
LAW,718893,,Raghu Samarth,"['Ragini Chandran', 'Mukhyamantri Chandru', 'Avinash', 'Achyuth Kumar', 'Sudharani', 'Rajesh Nataranga', 'Mandya Ramesh', 'Siri Prahalad', 'Krishna Hebbale']",,"Crime, Thriller, Drama",0,0,"Nandhini, a law student who is caught in a precarious situation, fights for justice for a gruesome crime involving herself.",https://www.amazon.com/dp/B08CG32M8L/,2020,120,1.4,False,2020-07-17,LAW,kn,,3.3,3
Rangu,596089,,Kaarthikeya Varikallu,"['Tanish Alladi', 'Priya Singh', 'Paruchuri Ravindranath']",,Action,0,0,,,2018,156,0.601,False,2018-11-23,Rangu,te,,0.0,0
Diary of a Wimpy Kid: Rodrick Rules,897192,https://www.youtube.com/watch?v=16u7oeK0O90,Luke Cormican,"['Brady Noon', 'Hunter Dillon', 'Ethan William Childress', 'Erica Cerra', 'Chris Diamantopoulos', 'Ed Asner', 'Gracen Newton', 'Christian Convery', 'Veda Maharaj', 'Kimberly-Ann Truong', 'Robbie Daymond']",,"Animation, Comedy, Family",0,0,"A new school year, his brother Rodrick teases him over and over and over and over again. Will Greg manage to get along with him? Or will a secret ruin everything?",https://www.disneyplus.com/movies/diary-of-a-wimpy-kid-2-rodrick-rules/3AozRqCU7cg4,2022,74,121.662,False,2022-12-02,Diary of a Wimpy Kid: Rodrick Rules,en,Get ready to rock n' rüle!,7.116,116
Sainyam,356425,,Joshiy,"['Mammootty', 'Mukesh', 'Mohini', 'Dileep', 'Vikram', 'Priya Raman', 'Vijay Menon', 'Prem Kumar', 'Sukumaran', 'Valsala Menon', 'Devan', 'Abi', 'Mukundan', 'Kozhikode Narayanan Nair', 'Rajeev Rangan', 'Santhosh', 'Sonia Bose Venkat', 'K.P.A.C. Sunny', 'Rasheed Ummer', 'Nandhu']",,"War, Drama",0,0,"The story involves the life of Indian Air force officer (Group captain Eashwar) who engages himself into a project called ""Red Alert"" which involves the renovation of condemned Aircraft. He is 35 unmarried and interested in Research wing of Indian Air force. Eshwar is assisted by Wing Commander Zakir (Mukesh).",,1993,150,0.976,False,1993-09-16,സൈന്യം,ml,,7.286,7
Operation 2019,791058,,,[],,,0,0,"After serving time in prison, a non-resident Indian decides to venture into politics to gain power and bring about widespread social change.",,2018,0,1.443,False,2018-12-01,Operation 2019,en,,0.0,0
Kavacham,565277,https://www.youtube.com/watch?v=yhcoznMrfPo,Sreenivas Mamilla,"['Bellamkonda Srinivas', 'Kajal Agarwal', 'Neil Nitin Mukesh', 'Mehreen Pirzada', 'Harshvardhan Rane', 'Mukesh Rishi', 'Posani Krishna Murali', 'Harish Uthaman', 'Ajay', 'Kalyani Natarajan', 'Satyam Rajesh', 'Prabhas Sreenu', 'Y. Kasi Viswanath', 'Venu Tillu', 'C. V. L. Narasimha Rao', 'Manava Koteswara Rao', 'Sravan Raghavendra', 'Jabardasth Shaking Seshu']",,"Action, Thriller",0,0,"After being framed for a kidnapping, an honest cop races against time to clear his name and catch the conspirator.",,2018,143,1.885,False,2018-12-07,కవచం,te,,5.611,9
Next Enti?,568212,https://www.youtube.com/watch?v=TMLaw2_c1TA,Kunal Kohli,"['Tamannaah Bhatia', 'Sundeep Kishan', 'Navdeep', 'Poonam Kaur', 'Sarath Babu', 'Harshavardhan', 'Venkat Mikkilineni', 'Atul Sharma', 'Claire Ashton', 'Pamela Cook', 'Peter Jay', 'Larissa Bonesi']",,"Drama, Romance, Comedy",0,0,"Tammy ‘hates boys’ and will only settle for the kind of standards her father sets for her; both with the way he is and the 'knowledge' he imparts her with. Sanju is one of the men she dates, a man-child who refuses to grow up. But when both part ways on such uncertain terms, what brings them together again?",,2018,157,1.96,False,2018-12-07,నెక్స్ట్ ఏంటి,te,,3.8,4
Subhalekha+lu,632855,,,['Mona Kakade'],,,0,0,"Two youngsters have a different world view of life, despite leading the same carefree lives. However, what happens when the bride falls for someone else and has the choice to break her upcoming nuptials?",,2018,0,0.881,False,2018-12-07,Subhalekha+lu,te,,4.5,1
Subramanyapuram,565247,https://www.youtube.com/watch?v=TrWKQtHw5R4,Santosh Jagarlapudi,"['Sumanth', 'Eesha Rebba', 'Sai Kumar', 'Suresh', 'Ali Basha', 'Bhadram', 'Raghunatha Reddy', 'Josh Ravi', 'Amit Sharma', 'Harshini Koduru', 'Vajja Venkata Giridhar']",,"Drama, Mystery, Thriller",0,0,"Karthik, who researches about temples, goes onto investigate the mystery behind the Subramanyapuram temple. He is an atheist who visits the village with his love interest and friends for a festival. Caught between the belief of villagers and facts about the mysterious deaths surrounding the temple, Karthik seeks to find the truth.",,2018,133,0.661,False,2018-12-06,సుబ్రమణ్యపురం,te,,4.5,2
Bhairava Geetha,567290,https://www.youtube.com/watch?v=arvNBpVuHAE,Siddhartha Thatholu,"['Dhananjay', 'Irra Mor', 'Kalpalatha']",,"Romance, Action, Drama",0,0,"Set against the backdrop of violent class, a love story of a man who turns into a rebel in a battle between feudal-minded oppressors and the downtrodden.",,2018,129,1.401,False,2018-12-07,ಭೈರವ ಗೀತಾ,kn,A Love Story,6.0,1
Anaganaga O Premakatha,568137,https://www.youtube.com/watch?v=qdms1srj0eA,Pratap Tatamsetti,"['Riddhi Kumar', 'Ashwin J Viraj']",,"Drama, Romance",0,0,"Anaganaga O Premakatha is an upcoming Telugu movie scheduled to be released on 14 Dec, 2018. The movie is directed by Pratap Tatamsetti and will feature Riddhi Kumar and Ashwin J Viraj as lead characters.",,2018,130,0.673,False,2018-12-14,Anaganaga O Premakatha,te,,8.0,1
